Day,Open,High,Low,Close,Volume
124,	4489.17,	4512.94,	4384.47,	4393.66,	3833570000.00
123,	4472.26,	4488.29,	4448.76,	4459.45,	3678040000.00
122,	4390.63,	4471.03,	4390.63,	4462.21,	3197930000.00
121,	4385.63,	4410.31,	4370.3,	4391.69,	3509340000.00
120,	4449.12,	4460.46,	4390.77,	4392.59,	3634740000.00
119,	4394.3,	4453.92,	4392.7,	4446.59,	3273140000.00
118,	4437.59,	4471,	4381.34,	4397.45,	3451990000.00
117,	4462.64,	4464.35,	4408.38,	4412.53,	3452540000.00
116,	4494.15,	4520.41,	4474.6,	4488.28,	3453040000.00
115,	4474.65,	4521.16,	4450.3,	4500.21,	4054010000.00
114,	4494.17,	4503.94,	4450.04,	4481.15,	4137080000.00
113,	4572.45,	4593.45,	4514.17,	4525.12,	3906230000.00
112,	4547.97,	4583.5,	4539.21,	4582.64,	3833500000.00
111,	4540.32,	4548.7,	4507.57,	4545.86,	3828290000.00
110,	4599.02,	4603.07,	4530.41,	4530.41,	3782040000.00
109,	4624.2,	4627.77,	4581.32,	4602.45,	3665390000.00
108,	4602.86,	4637.3,	4589.66,	4631.6,	4239660000.00
107,	4541.09,	4575.65,	4517.69,	4575.52,	3696850000.00
106,	4522.91,	4546.03,	4501.07,	4543.06,	3577520000.00
105,	4469.98,	4520.58,	4465.17,	4520.16,	3573430000.00
104,	4493.1,	4501.07,	4455.81,	4456.24,	4014360000.00
103,	4469.1,	4522,	4469.1,	4511.61,	3962880000.00
102,	4462.4,	4481.75,	4424.3,	4461.18,	3961050000.00
101,	4407.34,	4465.4,	4390.57,	4463.12,	6681510000.00
100,	4345.11,	4412.67,	4335.65,	4411.67,	4174170000.00
99,	4288.14,	4358.9,	4251.99,	4357.86,	5002240000.00
98,	4188.82,	4271.05,	4187.9,	4262.45,	4331170000.00
97,	4202.75,	4247.57,	4161.72,	4173.11,	4757600000.00
96,	4279.5,	4291.01,	4200.49,	4204.31,	3877430000.00
95,	4252.55,	4268.28,	4209.8,	4259.52,	4008690000.00
94,	4223.1,	4299.4,	4223.1,	4277.88,	4220180000.00
93,	4202.66,	4276.94,	4157.87,	4170.7,	6237000000.00
92,	4327.01,	4327.01,	4199.85,	4201.09,	5506330000.00
91,	4342.12,	4342.12,	4284.98,	4328.87,	4558250000.00
90,	4401.31,	4416.78,	4345.56,	4363.49,	4062080000.00
89,	4322.56,	4401.48,	4322.56,	4386.54,	4409090000.00
88,	4363.14,	4378.45,	4279.54,	4306.26,	4679400000.00
87,	4354.17,	4388.84,	4315.12,	4373.94,	4594010000.00
86,	4298.38,	4385.34,	4286.83,	4384.65,	3941780000.00
85,	4155.77,	4294.73,	4114.65,	4288.7,	5070560000.00
84,	4324.93,	4341.51,	4221.51,	4225.5,	3814340000.00
83,	4332.74,	4362.12,	4267.11,	4304.76,	4007780000.00
82,	4384.57,	4394.6,	4327.22,	4348.87,	3871340000.00
81,	4456.06,	4456.06,	4373.81,	4380.26,	3596510000.00
80,	4455.75,	4489.55,	4429.68,	4475.01,	3478750000.00
79,	4429.28,	4472.77,	4429.28,	4471.07,	3363200000.00
78,	4412.61,	4426.22,	4364.84,	4401.67,	3466170000.00
77,	4506.27,	4526.33,	4401.41,	4418.64,	4164960000.00
76,	4553.24,	4588.92,	4484.31,	4504.08,	4490500000.00
75,	4547,	4590.03,	4547,	4587.18,	3662810000.00
74,	4480.02,	4531.32,	4465.4,	4521.54,	3509330000.00
73,	4505.75,	4521.86,	4471.47,	4483.87,	3291600000.00
72,	4482.79,	4539.66,	4451.5,	4500.53,	3673700000.00
71,	4535.41,	4542.88,	4470.39,	4477.44,	3596830000.00
70,	4566.39,	4595.31,	4544.32,	4589.38,	3777170000.00
69,	4519.57,	4550.49,	4483.53,	4546.54,	3796450000.00
68,	4431.79,	4516.89,	4414.02,	4515.55,	4001950000.00
67,	4336.19,	4432.72,	4292.46,	4431.85,	3936030000.00
66,	4380.58,	4428.74,	4309.5,	4326.51,	4074330000.00
65,	4408.43,	4453.23,	4304.8,	4349.93,	4046270000.00
64,	4366.64,	4411.01,	4287.11,	4356.45,	3989420000.00
