Days,Open,High,Low,Close
16760,	465.78,	466.7,	464.79,	465.47
16759,	459.04,	466.34,	459.04,	465.79
16758,	455.12,	459.29,	455.12,	459.04
16757,	452.37,	455.67,	452.13,	455.1
16756,	453.52,	454.49,	452.13,	452.36
16755,	454.59,	454.59,	449.27,	453.52
16754,	461.77,	462.46,	454.03,	454.59
16753,	462.69,	463.31,	460.33,	461.74
16752,	462.27,	465.3,	461.91,	462.71
16751,	464.84,	464.84,	461.51,	462.24
16750,	462.1,	465.55,	462.1,	464.84
16749,	460.82,	462.75,	459.83,	462.05
16748,	459.65,	460.87,	459.31,	460.82
16747,	461.27,	462.14,	459.01,	459.67
16746,	461.45,	463.22,	460.96,	461.27
16745,	463.42,	464.01,	458.47,	461.46
16744,	470.83,	470.83,	463.36,	463.36
16743,	471.21,	473.15,	470.68,	470.85
16742,	474.81,	474.81,	470.06,	471.19
16741,	468.8,	474.81,	468.79,	474.81
16740,	467.55,	468.86,	466.82,	468.8
16739,	466.27,	468.76,	466.27,	467.51
16738,	468.18,	468.42,	466.15,	466.21
16737,	473.13,	473.13,	466.55,	468.18
16736,	470.96,	473.4,	470.86,	473.14
16735,	471.86,	472.41,	470.2,	470.99
16734,	471,	471.92,	469.64,	471.86
16733,	473.2,	474.89,	470.67,	470.99
16732,	475.49,	475.49,	471.74,	473.17
16731,	476.07,	477.59,	474.43,	475.49
16730,	474.59,	476.61,	473.56,	476.07
16729,	473.89,	477.14,	473.89,	474.59
16728,	468.08,	474.65,	468.08,	473.8
16727,	469.07,	470.12,	467.64,	468.08
16726,	464.51,	469.05,	464.51,	469.03
16725,	462.39,	466.58,	462.39,	464.51
16724,	463.61,	463.61,	461.46,	462.32
16723,	463.25,	464.37,	461.81,	463.68
16722,	465.1,	465.1,	462.3,	463.17
16721,	465.11,	465.91,	464.57,	465.17
16720,	461.22,	465.2,	459.89,	465.01
16719,	461.97,	463.34,	461.21,	461.23
16718,	458.88,	462.27,	458.88,	461.94
16717,	460.31,	461.41,	456.88,	458.88
16716,	457.98,	460.48,	457.98,	460.3
16715,	457.89,	458.16,	456.66,	457.92
16714,	457.08,	458.3,	457.01,	457.89
16713,	458.34,	458.34,	456.08,	457.09
16712,	461.45,	461.49,	458.4,	458.4
16711,	460.65,	461.46,	459.51,	461.45
16710,	461.01,	462.77,	459.7,	460.56
16709,	458.28,	461.01,	458.08,	461.01
16708,	454.25,	459.33,	454.25,	458.26
16707,	452.57,	454.93,	452.3,	454.24
16706,	453.36,	453.38,	451.36,	452.57
16705,	454.25,	454.25,	452.78,	453.36
16704,	453.1,	454.32,	452.76,	454.25
16703,	452.61,	454.03,	452.33,	453.11
16702,	451.6,	453.22,	451,	452.61
16701,	453.89,	454.16,	450.69,	451.6
16700,	455.22,	455.3,	453.86,	453.86
16699,	454.41,	455.71,	453.26,	455.22
16698,	453.28,	454.33,	452.8,	454.16
16697,	448.73,	454.33,	448.73,	453.41
16696,	448.03,	450.06,	447.97,	448.73
16695,	448.02,	448.16,	444.65,	447.95
16694,	449.56,	450.24,	445.27,	448.06
16693,	448.38,	449.75,	446.53,	449.55
16692,	446.15,	448.64,	446.15,	448.38
16691,	446.29,	447.28,	444.18,	446.13
16690,	446.2,	447.62,	445.14,	446.37
16689,	444.27,	446.45,	443.58,	446.2
16688,	447.63,	448.61,	443.66,	444.27
16687,	446.05,	449.83,	446.04,	447.63
16686,	447.36,	448.47,	443.08,	446.07
16685,	442.78,	447.76,	439.83,	447.31
16684,	449.63,	449.63,	442.51,	442.8
16683,	453.09,	454.16,	449.43,	449.63
16682,	451.4,	453.91,	451.4,	453.09
16681,	455.48,	455.48,	449.45,	451.34
16680,	458.45,	458.45,	454.46,	455.48
16679,	461.93,	462.16,	458.44,	458.45
16678,	460.61,	461.93,	459.8,	461.93
16677,	462.38,	463.23,	459.95,	460.61
16676,	459.1,	462.52,	459.1,	462.37
16675,	458.67,	459.36,	457.18,	459.1
16674,	457.86,	459.48,	457.36,	458.67
16673,	457.06,	457.87,	455.86,	457.86
16672,	458.21,	459.74,	455.43,	457.06
16671,	458.88,	459.46,	457.65,	458.21
16670,	460.13,	461.87,	458.85,	458.88
16669,	457.65,	460.86,	456.27,	460.13
16668,	457.62,	458.5,	457.26,	457.65
16667,	456.5,	458.29,	453.99,	457.63
16666,	457.32,	457.61,	455.16,	456.5
16665,	457.03,	457.33,	454.67,	457.33
16664,	456.33,	457.77,	455.79,	457.06
16663,	454.84,	456.34,	452.2,	456.34
16662,	453.21,	456.77,	453.21,	454.81
16661,	454.92,	454.92,	451.79,	453.2
16660,	456.48,	456.48,	454.22,	454.92
16659,	453.69,	456.88,	453,	456.48
16658,	449.39,	454.45,	448.87,	453.69
16657,	444.49,	449.37,	443.7,	449.37
16656,	444.15,	445.82,	443.62,	444.49
16655,	443.62,	444.72,	441.21,	444.14
16654,	441.5,	444.8,	441.5,	443.75
16653,	446.03,	446.03,	440.78,	441.49
16652,	442.37,	446.84,	442.37,	446.01
16651,	447.82,	447.82,	441.84,	442.32
16650,	451.37,	451.37,	445.64,	447.82
16649,	451.72,	452.82,	450.72,	451.38
16648,	453.04,	453.11,	449.87,	451.72
16647,	453.06,	453.98,	450.51,	453.03
16646,	450.91,	453.57,	449.05,	453.02
16645,	449.07,	451.35,	447.91,	450.91
16644,	451.84,	452.23,	447.97,	449.1
16643,	452.71,	452.79,	450.66,	451.87
16642,	447.64,	452.71,	447.58,	452.71
16641,	448.73,	449.96,	447.16,	447.63
16640,	441.96,	449.14,	441.96,	448.73
16639,	442.54,	445.01,	439.4,	441.96
16638,	442.54,	444.82,	438.83,	442.54
16637,	446.27,	447.87,	441.48,	442.46
16636,	446.38,	447.85,	445.81,	446.18
16635,	446.26,	447.55,	443.57,	446.38
16634,	447.63,	448.57,	442.62,	446.26
16633,	449.83,	450.8,	447.33,	447.57
16632,	447.12,	450.34,	447.1,	449.87
16631,	450.89,	450.89,	445.51,	447.1
16630,	448.11,	451.1,	446.38,	450.88
16629,	448.29,	449.63,	444.98,	448.05
16628,	439.14,	448.29,	439.14,	448.29
16627,	445.66,	445.66,	435.86,	438.92
16626,	445.55,	447.16,	436.16,	445.77
16625,	452.48,	452.49,	445.55,	445.55
16624,	460,	460.32,	452.43,	452.48
16623,	460.58,	461.12,	456.1,	460
16622,	464.35,	465.29,	460.58,	460.58
16621,	468.57,	468.57,	462.41,	464.35
16620,	468.89,	470.38,	468.52,	468.54
16619,	468.4,	470.47,	467.88,	468.8
16618,	471.06,	471.06,	467.23,	468.54
16617,	470.89,	471.09,	467.83,	471.06
16616,	469.42,	471.05,	468.62,	470.9
16615,	467.04,	469.85,	465.48,	469.42
16614,	467.39,	468.99,	466.04,	467.01
16613,	466.44,	467.6,	466.08,	467.39
16612,	463.86,	466.61,	462.54,	466.44
